basename	edge_label	prune_label	pathlength	exterior2surface	surface2volume	mindfe	maxdfe	minmaxdfe	length2width	depth	angle
849_PV_skeleton_graphs.pckle	((319, 291, 217), (327, 300, 206))	0	11	0.810333963453	0.0265833598553	5	7	2	1.83333333333	90.6268208888	0.00266718370003
849_PV_skeleton_graphs.pckle	((225, 269, 202), (208, 271, 217))	0	19	0.723718185172	0.022539825069	6	10	4	2.375	65.3141466477	0.0264773742561
849_PV_skeleton_graphs.pckle	((199, 284, 187), (189, 270, 180))	0	13	0.597101449275	0.0349836489467	2	9	7	2.36363636364	85.6750466352	None
473_PV_skeleton_graphs.pckle	((197, 276, 137), (179, 294, 140))	0	27	0.836289222374	0.219002091425	3	8	5	4.90909090909	94.2957123744	0.0170740218298
473_PV_skeleton_graphs.pckle	((197, 276, 137), (187, 279, 151))	0	14	0.718788627936	0.26472513089	4	8	4	2.33333333333	94.2957123744	0.0283701948817
473_PV_skeleton_graphs.pckle	((268, 246, 152), (267, 248, 151))	1	1	None	None	None	None	None	None	40.6461028596	None
473_PV_skeleton_graphs.pckle	((268, 246, 152), (321, 293, 145))	0	60	0.929518593255	0.176876991714	5	8	3	9.23076923077	40.6461028596	0.0401964575321
473_PV_skeleton_graphs.pckle	((269, 207, 144), (275, 212, 143))	1	6	0.556414219474	0.220869367319	9	9	0	0.666666666667	8.70572985655	0.0245623383522
RV05_PV_skeleton_graphs.pckle	((304, 256, 81), (173, 317, 72))	0	144	0.919884994949	0.0583318601921	3	11	8	20.5714285714	29.9633245424	0.0209746356294
RV05_PV_skeleton_graphs.pckle	((320, 327, 81), (334, 345, 68))	0	21	0.829440905874	0.0754626291757	5	7	2	3.5	72.9056641031	0.00860000246013
RV05_PV_skeleton_graphs.pckle	((320, 327, 81), (344, 331, 89))	0	24	0.773480662983	0.0946067949632	3	7	4	4.8	72.9056641031	0.0150057849317
RV23_PV_skeleton_graphs.pckle	((164, 262, 113), (156, 287, 116))	0	24	0.841277407054	0.261563396085	3	7	4	4.8	124.990684075	0.0175203577152
RV23_PV_skeleton_graphs.pckle	((164, 262, 113), (136, 254, 110))	0	27	0.802528597231	0.315359787355	3	6	3	6.0	124.990684075	0.0203815333404
RV23_PV_skeleton_graphs.pckle	((354, 255, 111), (369, 232, 105))	0	22	0.689002557545	0.301093485292	3	8	5	4.0	116.238984312	0.00855107470803
RV23_PV_skeleton_graphs.pckle	((355, 257, 110), (370, 257, 116))	0	14	0.571524966262	0.327513812155	2	8	6	2.8	116.238984312	None
RV23_PV_skeleton_graphs.pckle	((355, 257, 110), (359, 282, 109))	0	24	0.714886901631	0.282005637146	2	8	6	4.8	116.238984312	None
RV23_PV_skeleton_graphs.pckle	((337, 244, 118), (333, 249, 118))	1	4	0.495619524406	0.308672976627	8	8	0	0.5	103.521097126	0.0192831364261
RV23_PV_skeleton_graphs.pckle	((176, 257, 129), (175, 274, 132))	0	16	0.756756756757	0.458488228005	3	4	1	4.57142857143	122.057739259	0.0269386266516
RV23_PV_skeleton_graphs.pckle	((176, 257, 129), (163, 252, 131))	0	12	0.826568265683	0.377043478261	3	4	1	3.42857142857	122.057739259	0.0306048761137
RV23_PV_skeleton_graphs.pckle	((338, 244, 118), (358, 245, 126))	0	20	0.562561576355	0.341291190316	2	9	7	3.63636363636	103.521097126	None
RV23_PV_skeleton_graphs.pckle	((324, 235, 122), (348, 214, 124))	0	26	0.724023825281	0.232211464577	5	9	4	3.71428571429	95.3159593853	0.0182115816551
564_PV_skeleton_graphs.pckle	((291, 204, 53), (276, 197, 57))	1	14	0.598178137652	0.0382812197296	6	8	2	2.0	7.30358016593	0.00683351755885
564_PV_skeleton_graphs.pckle	((308, 278, 70), (331, 263, 72))	0	22	0.820826952527	0.0583400339498	2	6	4	5.5	69.8519076426	0.0129033511185
564_PV_skeleton_graphs.pckle	((200, 257, 60), (186, 248, 66))	0	15	0.80252764613	0.0704272363151	2	5	3	4.28571428571	90.0854586686	0.00945906631383
564_PV_skeleton_graphs.pckle	((184, 264, 55), (177, 284, 54))	0	19	0.884645982498	0.0422024508981	2	5	3	5.42857142857	101.532623451	0.0113267172731
564_PV_skeleton_graphs.pckle	((184, 264, 55), (176, 251, 49))	0	12	0.742998352554	0.0672203765227	2	5	3	3.42857142857	101.532623451	0.00759449944791
564_PV_skeleton_graphs.pckle	((325, 293, 61), (339, 278, 51))	0	21	0.858346094946	0.0374415871105	3	5	2	5.25	85.5517412672	0.00715587978975
564_PV_skeleton_graphs.pckle	((325, 293, 61), (326, 309, 59))	0	15	0.679856115108	0.0621993511578	2	5	3	4.28571428571	85.5517412672	0.00886561081595
564_PV_skeleton_graphs.pckle	((206, 259, 63), (201, 260, 73))	0	9	0.767260579065	0.0528795194912	4	6	2	1.8	85.4529609077	0.0104635327657
825_PV_skeleton_graphs.pckle	((235, 214, 129), (220, 213, 146))	0	18	0.707879295893	0.318856073767	3	7	4	3.6	61.1593468801	0.0623702783425
825_PV_skeleton_graphs.pckle	((235, 214, 129), (197, 226, 126))	0	38	0.828721374046	0.210812169977	6	8	2	5.42857142857	61.1593468801	0.0666656427746
825_PV_skeleton_graphs.pckle	((332, 220, 139), (344, 203, 130))	0	16	0.798590130916	0.420584498094	3	5	2	4.0	67.9832255233	0.0445785417353
825_PV_skeleton_graphs.pckle	((332, 220, 139), (344, 226, 151))	0	13	0.772994129159	0.418680868497	2	6	4	3.25	67.9832255233	0.0499647585737
825_PV_skeleton_graphs.pckle	((348, 243, 129), (360, 225, 121))	0	17	0.741857659831	0.395893027698	2	5	3	4.85714285714	82.5202772213	0.0151982272587
825_PV_skeleton_graphs.pckle	((348, 243, 129), (358, 255, 120))	0	12	0.863804589193	0.264798118385	4	5	1	2.66666666667	82.5202772213	0.0243509198257
119_PV_skeleton_graphs.pckle	((274, 249, 114), (307, 293, 108))	0	46	0.863093788063	0.0256780763649	5	9	4	6.57142857143	28.264246116	0.0389467335876
119_PV_skeleton_graphs.pckle	((223, 270, 106), (205, 278, 101))	0	18	0.864432597106	0.0343214136345	5	5	0	3.6	82.5905252079	0.0138109376141
119_PV_skeleton_graphs.pckle	((223, 270, 106), (215, 269, 114))	0	9	0.754777070064	0.0473176612417	3	5	2	2.25	82.5905252079	0.0338515189097
916_PV_skeleton_graphs.pckle	((285, 165, 104), (286, 164, 103))	1	0	None	None	None	None	None	None	0.0	None
916_PV_skeleton_graphs.pckle	((300, 241, 124), (317, 236, 133))	0	16	0.706586826347	0.362157766332	3	6	3	3.55555555556	53.1341316069	0.0231923347289
916_PV_skeleton_graphs.pckle	((300, 241, 124), (334, 262, 101))	0	41	0.872212692967	0.220485345099	4	6	2	8.2	53.1341316069	0.0151681319215
916_PV_skeleton_graphs.pckle	((201, 221, 115), (193, 217, 128))	0	12	0.787792760823	0.335956127802	4	6	2	2.4	67.8349805145	0.0269229997365
916_PV_skeleton_graphs.pckle	((201, 221, 115), (157, 248, 101))	0	54	0.90062520566	0.249364076475	4	6	2	10.8	67.8349805145	0.0258602679606
672_PV_skeleton_graphs.pckle	((187, 260, 83), (188, 283, 86))	0	22	0.789637305699	0.0469106995285	2	5	3	6.28571428571	104.588145162	0.0274700070879
672_PV_skeleton_graphs.pckle	((187, 260, 83), (176, 285, 75))	0	28	0.846103470858	0.0377204683563	2	5	3	8.0	104.588145162	0.0207849243257
672_PV_skeleton_graphs.pckle	((219, 242, 92), (189, 235, 100))	0	31	0.818805765271	0.0299019004228	2	9	7	5.63636363636	80.210633335	0.0313258232947
672_PV_skeleton_graphs.pckle	((310, 270, 101), (329, 276, 95))	0	18	0.796208530806	0.0429210740439	3	5	2	4.5	87.6654284339	0.0166432056493
672_PV_skeleton_graphs.pckle	((310, 270, 101), (327, 265, 108))	0	16	0.762953367876	0.0499579369702	2	5	3	4.57142857143	87.6654284339	0.0339472715465
672_PV_skeleton_graphs.pckle	((304, 312, 89), (306, 320, 90))	0	7	0.6853625171	0.0437384072279	4	6	2	1.4	109.059820499	0.0176260937525
672_PV_skeleton_graphs.pckle	((304, 312, 89), (313, 309, 80))	0	9	0.783783783784	0.0375599852344	4	6	2	1.8	109.059820499	0.00818064860724
RV25_PV_skeleton_graphs.pckle	((299, 286, 324), (314, 301, 336))	0	20	0.647842056933	0.290554962647	3	10	7	3.07692307692	98.4762535997	0.0134913610889
RV25_PV_skeleton_graphs.pckle	((299, 286, 324), (326, 274, 318))	0	26	0.65548098434	0.263623496108	4	10	6	3.71428571429	98.4762535997	0.0182583310094
RV25_PV_skeleton_graphs.pckle	((313, 306, 306), (326, 309, 297))	0	12	0.759414792739	0.162520364581	10	10	0	1.2	112.013290495	0.0158303415141
RV25_PV_skeleton_graphs.pckle	((313, 306, 306), (324, 310, 322))	0	17	0.593956562795	0.259399877526	3	10	7	2.61538461538	112.013290495	0.0141891595774
RV25_PV_skeleton_graphs.pckle	((228, 264, 275), (217, 266, 271))	0	10	0.69428648795	0.16265139837	11	12	1	0.869565217391	94.9973242876	0.0176736798285
RV25_PV_skeleton_graphs.pckle	((228, 264, 275), (215, 271, 300))	0	26	0.680230959582	0.23656823208	4	11	7	3.46666666667	94.9973242876	0.0150581549619
156_PV_skeleton_graphs.pckle	((284, 215, 113), (176, 249, 95))	0	109	0.938228438228	0.0800615858353	3	9	6	18.1666666667	31.7708429607	0.0140171484679
156_PV_skeleton_graphs.pckle	((291, 240, 123), (290, 241, 124))	1	0	None	None	None	None	None	None	52.52030318	None
156_PV_skeleton_graphs.pckle	((291, 240, 123), (336, 267, 99))	0	52	0.964444444444	0.0801624625909	3	6	3	11.5555555556	52.52030318	0.0288102202082
294_PV_skeleton_graphs.pckle	((214, 226, 105), (204, 213, 104))	0	13	0.837153196622	0.0774042950514	3	5	2	3.25	98.821740104	0.022497651708
294_PV_skeleton_graphs.pckle	((337, 261, 97), (358, 244, 96))	0	24	0.730522945571	0.0623108894431	1	7	6	6.0	74.521570596	0.0181575090261
294_PV_skeleton_graphs.pckle	((236, 234, 95), (203, 291, 90))	0	78	0.893202237667	0.0450890468547	3	8	5	14.1818181818	77.469802129	0.0182032085737
294_PV_skeleton_graphs.pckle	((341, 290, 87), (355, 284, 72))	0	17	0.755748912368	0.0558680555556	3	7	4	3.4	94.505312774	0.0146157151719
294_PV_skeleton_graphs.pckle	((341, 290, 87), (335, 316, 75))	0	25	0.794540229885	0.0490486257928	4	7	3	4.54545454545	94.505312774	0.0125066863938
294_PV_skeleton_graphs.pckle	((192, 242, 109), (187, 265, 111))	0	22	0.925179856115	0.0967292971468	2	3	1	8.8	115.113873759	0.0234571747511
294_PV_skeleton_graphs.pckle	((192, 242, 109), (172, 248, 107))	0	19	0.893617021277	0.109514563107	2	3	1	7.6	115.113873759	0.0162269178912
896_PV_skeleton_graphs.pckle	((304, 256, 133), (322, 251, 140))	0	17	0.695625	0.285918513224	4	8	4	2.83333333333	85.442529978	0.0269401913452
896_PV_skeleton_graphs.pckle	((304, 256, 133), (341, 252, 119))	0	47	0.88630621526	0.201722644106	3	8	5	8.54545454545	85.442529978	0.0296876726997
896_PV_skeleton_graphs.pckle	((174, 252, 118), (160, 278, 117))	0	25	0.853444493199	0.21279178338	4	7	3	4.54545454545	113.732749832	0.0263330237317
896_PV_skeleton_graphs.pckle	((174, 252, 118), (161, 241, 113))	0	12	0.722709163347	0.325213785955	4	7	3	2.18181818182	113.732749832	0.0136328328805
896_PV_skeleton_graphs.pckle	((199, 242, 123), (183, 248, 135))	0	17	0.703719008264	0.296968953246	5	8	3	2.61538461538	96.4723185872	0.0190676587747
209_PV_skeleton_graphs.pckle	((241, 258, 102), (121, 284, 81))	0	119	0.90736326741	0.123210146998	7	14	7	11.3333333333	62.3677124683	0.0351446402097
209_PV_skeleton_graphs.pckle	((265, 316, 98), (295, 298, 100))	0	32	0.700447928331	0.248919860627	3	10	7	4.92307692308	105.434735216	0.0306527423084
209_PV_skeleton_graphs.pckle	((265, 316, 98), (284, 337, 76))	0	32	0.837328767123	0.146060858691	8	11	3	3.36842105263	105.434735216	0.0264887674411
209_PV_skeleton_graphs.pckle	((252, 198, 95), (255, 198, 96))	1	2	0.331517183571	0.269665461121	13	13	0	0.153846153846	16.4579228187	None
RV03_PV_skeleton_graphs.pckle	((291, 272, 126), (286, 271, 124))	1	4	0.388977635783	0.0331638058911	8	8	0	0.5	57.7060508857	0.0144986469846
RV03_PV_skeleton_graphs.pckle	((304, 301, 129), (326, 336, 121))	0	37	0.872689938398	0.0155911844178	7	9	2	4.625	75.9080634393	0.0231964531343
RV03_PV_skeleton_graphs.pckle	((304, 301, 129), (338, 293, 126))	0	34	0.801969656641	0.0214188796278	5	9	4	4.85714285714	75.9080634393	0.0207928555498
RV03_PV_skeleton_graphs.pckle	((186, 273, 103), (167, 276, 98))	0	18	0.791889483066	0.0220946604571	5	7	2	3.0	112.836589771	0.00650520737953
RV03_PV_skeleton_graphs.pckle	((186, 273, 103), (175, 253, 97))	0	21	0.721468926554	0.0281211273871	3	7	4	4.2	112.836589771	0.0127115293435
628_PV_skeleton_graphs.pckle	((323, 262, 127), (342, 254, 128))	0	18	0.730057434588	0.307616804083	4	7	3	3.27272727273	70.7030347726	0.0129735861043
628_PV_skeleton_graphs.pckle	((342, 288, 122), (333, 308, 120))	0	20	0.747252747253	0.406580016247	2	6	4	5.0	90.776193882	0.0105923083294
628_PV_skeleton_graphs.pckle	((176, 243, 115), (175, 262, 117))	0	18	0.817689530686	0.349196344154	3	5	2	4.5	112.419073444	0.0155868798823
628_PV_skeleton_graphs.pckle	((176, 243, 115), (150, 276, 106))	0	38	0.910961780764	0.312180411695	3	5	2	9.5	112.419073444	0.00981977972837
628_PV_skeleton_graphs.pckle	((188, 233, 115), (172, 212, 112))	0	21	0.850746268657	0.360011312217	3	6	3	4.66666666667	104.041321879	0.0107499291543
628_PV_skeleton_graphs.pckle	((347, 291, 119), (353, 293, 115))	0	6	0.792724196277	0.272979214781	5	6	1	1.09090909091	94.4414753812	0.0145603623796
628_PV_skeleton_graphs.pckle	((347, 291, 119), (357, 280, 117))	0	12	0.686819830713	0.390278433223	3	5	2	3.0	94.4414753812	0.0114713660132
136_PV_skeleton_graphs.pckle	((302, 277, 81), (319, 299, 92))	0	24	0.866819221968	0.0413872788574	4	6	2	4.8	72.3803234235	0.0298647310671
136_PV_skeleton_graphs.pckle	((302, 277, 81), (309, 278, 79))	0	6	0.728110599078	0.0597598589998	5	6	1	1.09090909091	72.3803234235	0.0275279144192
136_PV_skeleton_graphs.pckle	((283, 244, 88), (202, 281, 98))	0	84	0.914588621771	0.0295618472513	5	9	4	12.0	40.8794001062	0.0250169800231
288_PV_skeleton_graphs.pckle	((196, 267, 133), (185, 259, 132))	0	10	0.756809338521	0.119354464182	4	6	2	2.0	93.5050069217	0.0188783933594
288_PV_skeleton_graphs.pckle	((185, 280, 130), (188, 287, 131))	0	6	0.705882352941	0.156626506024	3	5	2	1.5	108.564184239	0.0205627985199
288_PV_skeleton_graphs.pckle	((185, 280, 130), (179, 293, 119))	0	14	0.848797250859	0.115705765408	3	4	1	4.0	108.564184239	0.0163400541722
288_PV_skeleton_graphs.pckle	((204, 264, 135), (205, 261, 146))	0	10	0.75	0.118814729574	3	5	2	2.5	87.5262461992	0.0451050732876
288_PV_skeleton_graphs.pckle	((296, 256, 144), (322, 250, 147))	0	25	0.788688626476	0.104691261631	3	7	4	5.0	61.1583327215	0.0694862031141
288_PV_skeleton_graphs.pckle	((296, 256, 144), (323, 277, 132))	0	32	0.884030418251	0.0750442275866	5	7	2	5.33333333333	61.1583327215	0.0609947893039
611_PV_skeleton_graphs.pckle	((325, 253, 123), (329, 268, 127))	0	14	0.74294205052	0.443346508564	2	5	3	4.0	78.133251755	0.0289319735338
611_PV_skeleton_graphs.pckle	((198, 245, 114), (191, 247, 120))	0	6	0.697732997481	0.453973699257	3	5	2	1.5	82.9296685537	0.0265573030565
611_PV_skeleton_graphs.pckle	((302, 236, 126), (322, 212, 126))	0	26	0.766061452514	0.356929212363	2	6	4	6.5	62.0921035326	0.02074318509
611_PV_skeleton_graphs.pckle	((197, 245, 113), (184, 234, 111))	0	12	0.703764320786	0.445660102115	2	5	3	3.42857142857	82.9296685537	None
611_PV_skeleton_graphs.pckle	((311, 242, 125), (324, 239, 134))	0	12	0.699404761905	0.415327564895	2	6	4	3.0	67.8093613131	0.0226574316659
611_PV_skeleton_graphs.pckle	((331, 254, 119), (343, 240, 113))	0	14	0.756855575868	0.47074010327	2	4	2	4.66666666667	82.3814881607	0.00798966177664
611_PV_skeleton_graphs.pckle	((331, 254, 119), (342, 265, 110))	0	11	0.875543951262	0.301179554391	4	4	0	2.75	82.3814881607	0.0203536945825
611_PV_skeleton_graphs.pckle	((188, 254, 110), (179, 275, 102))	0	20	0.906578947368	0.293833365552	3	5	2	5.0	90.0440640725	0.0214238563577
611_PV_skeleton_graphs.pckle	((188, 254, 110), (169, 247, 109))	0	18	0.778730703259	0.467147435897	2	5	3	5.14285714286	90.0440640725	0.0160556564288
RV28_PV_skeleton_graphs.pckle	((180, 284, 222), (161, 300, 215))	0	22	0.835211620336	0.151433555825	8	10	2	2.44444444444	84.4417567781	0.0196893347966
RV28_PV_skeleton_graphs.pckle	((180, 284, 222), (166, 276, 232))	0	13	0.654135338346	0.314142308828	3	10	7	2.0	84.4417567781	0.0177272689176
RV28_PV_skeleton_graphs.pckle	((283, 231, 246), (351, 305, 226))	0	86	0.835619502013	0.11355959466	7	17	10	7.16666666667	20.9534811109	0.0249390894407
34_PV_skeleton_graphs.pckle	((347, 266, 107), (370, 237, 106))	0	30	0.790816326531	0.0548282421394	2	6	4	7.5	55.8880981808	0.0109083326572
34_PV_skeleton_graphs.pckle	((347, 266, 107), (363, 275, 102))	0	15	0.855868544601	0.0371649916248	6	6	0	2.5	55.8880981808	0.0165496207933
34_PV_skeleton_graphs.pckle	((307, 235, 111), (216, 299, 107))	0	121	0.929782082324	0.0318130571487	2	9	7	22.0	27.6754441431	0.00946437120136
550_PV_skeleton_graphs.pckle	((195, 280, 138), (190, 282, 133))	0	6	0.867620751342	0.350470219436	3	4	1	1.71428571429	108.713777806	0.0207867931714
550_PV_skeleton_graphs.pckle	((195, 280, 138), (197, 284, 138))	0	3	0.751633986928	0.474418604651	3	3	0	1.0	108.713777806	None
550_PV_skeleton_graphs.pckle	((282, 255, 153), (311, 308, 148))	0	52	0.874366554054	0.20228078418	5	8	3	8.0	29.7571898855	0.0271641035676
471_PV_skeleton_graphs.pckle	((294, 188, 210), (320, 181, 210))	1	25	0.648814229249	0.175523796309	7	11	4	2.77777777778	12.3013768171	0.0156423022632
471_PV_skeleton_graphs.pckle	((203, 280, 198), (203, 279, 196))	1	1	None	None	None	None	None	None	185.233015693	None
471_PV_skeleton_graphs.pckle	((203, 280, 198), (196, 287, 188))	0	9	0.931876606684	0.327578947368	4	4	0	2.25	185.233015693	0.013892567297
471_PV_skeleton_graphs.pckle	((212, 270, 209), (195, 262, 195))	0	20	0.794612794613	0.318327974277	3	7	4	4.0	172.003900332	None
471_PV_skeleton_graphs.pckle	((293, 182, 198), (291, 182, 188))	1	9	0.73243703844	0.122765418323	11	11	0	0.818181818182	3.8962601974	0.0167667512163
471_PV_skeleton_graphs.pckle	((316, 308, 231), (332, 311, 185))	0	45	0.840718105424	0.259259259259	3	8	5	8.18181818182	141.392743104	0.00898067371819
471_PV_skeleton_graphs.pckle	((316, 308, 231), (323, 322, 225))	0	13	0.683417085427	0.30548245614	3	8	5	2.36363636364	141.392743104	0.0157608781931
471_PV_skeleton_graphs.pckle	((264, 270, 237), (230, 279, 252))	0	33	0.716802610114	0.246085909273	5	10	5	4.4	125.79584337	0.0244736637731
471_PV_skeleton_graphs.pckle	((215, 272, 212), (202, 287, 217))	0	17	0.676498572788	0.337508028259	2	7	5	3.77777777778	172.003900332	0.0217304118987
471_PV_skeleton_graphs.pckle	((305, 299, 244), (325, 312, 262))	0	24	0.651777137368	0.252823315118	3	9	6	4.0	127.510656553	0.0249567394944
900_PV_skeleton_graphs.pckle	((189, 254, 136), (164, 236, 131))	0	25	0.829914529915	0.0816753926702	2	5	3	7.14285714286	82.210329748	0.0176763614748
900_PV_skeleton_graphs.pckle	((326, 271, 138), (328, 285, 141))	0	13	0.785388127854	0.0880107166778	3	5	2	3.25	88.0141135615	0.0256830730482
900_PV_skeleton_graphs.pckle	((326, 271, 138), (329, 280, 126))	0	14	0.83236030025	0.0583313062515	3	6	3	3.11111111111	88.0141135615	0.0176218659595
900_PV_skeleton_graphs.pckle	((180, 268, 134), (183, 279, 139))	0	11	0.794029850746	0.101746393318	2	4	2	3.66666666667	92.3748264254	0.0208998440244
900_PV_skeleton_graphs.pckle	((180, 268, 134), (165, 299, 125))	0	32	0.926397735315	0.071327612317	3	4	1	9.14285714286	92.3748264254	0.0246776979531
RV08_PV_skeleton_graphs.pckle	((305, 275, 94), (302, 274, 93))	1	2	0.533229085223	0.303224276908	9	9	0	0.222222222222	72.9756108436	None
RV08_PV_skeleton_graphs.pckle	((327, 290, 89), (348, 261, 88))	0	28	0.741119005329	0.261586711581	4	8	4	4.66666666667	89.7583189836	0.0117070229077
RV08_PV_skeleton_graphs.pckle	((228, 277, 81), (211, 276, 96))	0	18	0.715794104707	0.304487608841	4	9	5	2.76923076923	90.2588868428	0.0185130105278
RV08_PV_skeleton_graphs.pckle	((228, 277, 81), (202, 286, 75))	0	26	0.814199056392	0.192342595393	7	8	1	3.46666666667	90.2588868428	0.0142702662771
RV08_PV_skeleton_graphs.pckle	((334, 296, 88), (354, 295, 98))	0	20	0.634684147795	0.370255957635	2	8	6	4.0	94.4250734645	0.0136914921101
RV08_PV_skeleton_graphs.pckle	((334, 296, 88), (351, 308, 81))	0	17	0.801836806782	0.204433853264	6	8	2	2.42857142857	94.4250734645	0.0161939851682
821_PV_skeleton_graphs.pckle	((332, 303, 92), (334, 303, 91))	0	1	None	None	None	None	None	None	90.8227691927	None
821_PV_skeleton_graphs.pckle	((332, 303, 92), (328, 313, 93))	0	9	0.798165137615	0.0306046047295	2	5	3	2.57142857143	90.8227691927	0.00980980540678
821_PV_skeleton_graphs.pckle	((310, 181, 72), (316, 175, 65))	0	8	0.746281415627	0.0149328036601	10	11	1	0.761904761905	0.0	None
821_PV_skeleton_graphs.pckle	((172, 262, 82), (170, 282, 86))	0	20	0.810068649886	0.042715409804	2	5	3	5.71428571429	111.241128115	0.0104041660692
821_PV_skeleton_graphs.pckle	((155, 275, 78), (107, 258, 71))	0	51	0.950679056469	0.046844131927	2	3	1	20.4	123.882873356	0.0112344963845
821_PV_skeleton_graphs.pckle	((155, 275, 78), (155, 324, 71))	0	49	0.954901960784	0.0394136891728	2	4	2	16.3333333333	123.882873356	0.0123792638069
821_PV_skeleton_graphs.pckle	((331, 266, 101), (353, 253, 101))	0	21	0.867041198502	0.041289723962	2	5	3	6.0	77.0901470141	0.0210921686201
821_PV_skeleton_graphs.pckle	((331, 266, 101), (349, 264, 89))	0	18	0.85243902439	0.039800029122	2	5	3	5.14285714286	77.0901470141	0.0128604595393
821_PV_skeleton_graphs.pckle	((203, 253, 89), (184, 252, 100))	0	18	0.816489361702	0.0276328360403	4	8	4	3.0	90.9235439241	0.0195675382728
821_PV_skeleton_graphs.pckle	((327, 294, 97), (336, 298, 103))	0	8	0.726510067114	0.046356070623	2	5	3	2.28571428571	83.723018371	0.0162252986498
207_PV_skeleton_graphs.pckle	((305, 296, 156), (323, 285, 157))	0	17	0.713563933152	0.253023896155	6	9	3	2.26666666667	69.1043739913	0.0239597185814
207_PV_skeleton_graphs.pckle	((305, 296, 156), (333, 323, 144))	0	39	0.863064396743	0.194519101555	5	9	4	5.57142857143	69.1043739913	0.0340124353001
207_PV_skeleton_graphs.pckle	((169, 266, 132), (162, 268, 128))	0	6	0.774881516588	0.367595818815	4	5	1	1.33333333333	111.539254019	0.010041802968
207_PV_skeleton_graphs.pckle	((169, 266, 132), (165, 276, 133))	0	9	0.751533742331	0.438172043011	3	5	2	2.25	111.539254019	0.018169346104
207_PV_skeleton_graphs.pckle	((176, 266, 142), (170, 264, 148))	1	6	0.796396396396	0.816176470588	1	3	2	3.0	113.126440087	0.0309868046347
207_PV_skeleton_graphs.pckle	((176, 266, 142), (171, 266, 147))	0	6	0.789473684211	0.565830721003	1	4	3	2.4	113.126440087	0.0206112609367
RV15_PV_skeleton_graphs.pckle	((318, 284, 108), (331, 271, 109))	0	13	0.597371565114	0.0741692512184	3	6	3	2.88888888889	67.389393626	None
RV15_PV_skeleton_graphs.pckle	((318, 284, 108), (329, 286, 114))	0	10	0.639186295503	0.0830960854093	3	7	4	2.0	67.389393626	None
RV15_PV_skeleton_graphs.pckle	((317, 285, 108), (326, 296, 100))	0	12	0.817204301075	0.0515545914678	4	7	3	2.18181818182	67.389393626	0.0157949824647
RV15_PV_skeleton_graphs.pckle	((286, 204, 101), (284, 202, 101))	1	1	None	None	None	None	None	None	9.72576069908	None
RV15_PV_skeleton_graphs.pckle	((196, 263, 95), (181, 251, 91))	0	14	0.77488372093	0.0723175243861	3	6	3	3.11111111111	84.4937414227	0.0157146123662
RV15_PV_skeleton_graphs.pckle	((196, 263, 95), (191, 270, 92))	0	7	0.797417271994	0.0530439249936	6	6	0	1.16666666667	84.4937414227	0.0106772442875
462_PV_skeleton_graphs.pckle	((340, 290, 139), (345, 288, 148))	0	8	0.813141683778	0.355344764684	4	5	1	1.77777777778	115.156785753	0.0511377134635
462_PV_skeleton_graphs.pckle	((340, 290, 139), (359, 289, 134))	0	18	0.848050914877	0.429890560876	3	5	2	4.5	115.156785753	0.0268571494736
